Datum;Inhaber;Betreff;Betrag
11.12.2021;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r December;-19,99 EUR
11.12.2021;Otto;Buchungsnr: 6546907;-543,0 EUR
14.12.2021;NOVA;Gehalt f�r Monat: December;2000 EUR
14.12.2021;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5249561;-8,98 EUR
16.12.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.12.2021;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8924118;-9,85 EUR
16.12.2021;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.12.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 659927653;-5,9 EUR
18.12.2021;Walt Disney;Disney+;-17,99 EUR
19.12.2021;Netto;Rechnungsnr: 7494527;-103,01 EUR
23.12.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.12.2021;Apollo;Apollo Eintritt Giro Card Transaktion: 131540718;-13,6 EUR
28.12.2021;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4005514;-9,33 EUR
29.12.2021;Oeffentlicher Personennahverkehr;Ihr Ticket: 695835375;-5,9 EUR
30.12.2021;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.01.2022;Mietskaserne am R�benacker;Miete f�r Monat: January;-750 EUR
01.01.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 9903049;-10,59 EUR
01.01.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r January;-18,36 EUR
02.01.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 721657582;-5,9 EUR
02.01.2022;VHV;Privathaftpflicht;-4,5 EUR
03.01.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.01.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
05.01.2022;Edeka;Rechnungsnr: 6298070;-79,78 EUR
10.01.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.01.2022;Netflix ltd.;Netflix;-17,99 EUR
11.01.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r January;-19,99 EUR
11.01.2022;Jet;Giro Card Transaktion: 647785996;-80,93 EUR
14.01.2022;NOVA;Gehalt f�r Monat: January;2000 EUR
15.01.2022;Penny;Rechnungsnr: 1852953;-98,48 EUR
15.01.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6582541;-7,75 EUR
15.01.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 9188474;-11,07 EUR
16.01.2022;Denns;Rechnungsnr: 9770204;-70,65 EUR
16.01.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 4259371;-9,36 EUR
16.01.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.01.2022;Netto;Rechnungsnr: 5456876;-81,08 EUR
17.01.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.01.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3798987;-6,93 EUR
18.01.2022;Walt Disney;Disney+;-17,99 EUR
19.01.2022;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8794466;-24,9 EUR
19.01.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 8241096;-10,32 EUR
24.01.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.01.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 4396162;-5,64 EUR
28.01.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8833558;-9,24 EUR
30.01.2022;Otto;Buchungsnr: 1396983;-359,0 EUR
31.01.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3235390;-5,09 EUR
01.02.2022;Mietskaserne am R�benacker;Miete f�r Monat: February;-750 EUR
01.02.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r February;-18,36 EUR
01.02.2022;Otto;Buchungsnr: 6254464;-120,0 EUR
02.02.2022;VHV;Privathaftpflicht;-4,5 EUR
03.02.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.02.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.02.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 1603500;-9,81 EUR
07.02.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5342965;-11,3 EUR
08.02.2022;Rewe;Rechnungsnr: 4581271;-56,1 EUR
08.02.2022;BP;Giro Card Transaktion: 158188887;-54,28 EUR
09.02.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7650227;-8,62 EUR
10.02.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.02.2022;Netflix ltd.;Netflix;-17,99 EUR
11.02.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r February;-19,99 EUR
11.02.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 7524863;-7,36 EUR
13.02.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 8632777;-6,44 EUR
14.02.2022;NOVA;Gehalt f�r Monat: February;2000 EUR
14.02.2022;Penny;Rechnungsnr: 1600867;-66,24 EUR
15.02.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 757273732;-5,9 EUR
16.02.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.02.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.02.2022;Walt Disney;Disney+;-17,99 EUR
20.02.2022;BP;Giro Card Transaktion: 850770252;-37,29 EUR
21.02.2022;Penny;Rechnungsnr: 1524456;-67,28 EUR
21.02.2022;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9474359;-24,9 EUR
24.02.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.02.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 316939969;-5,9 EUR
25.02.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 119839298;-5,9 EUR
26.02.2022;Rewe;Rechnungsnr: 4529316;-99,38 EUR
27.02.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 3346479;-9,22 EUR
27.02.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5834817;-7,35 EUR
28.02.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 9861563;-9,04 EUR
01.03.2022;Mietskaserne am R�benacker;Miete f�r Monat: March;-750 EUR
01.03.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r March;-18,36 EUR
02.03.2022;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8892333;-24,9 EUR
02.03.2022;VHV;Privathaftpflicht;-4,5 EUR
03.03.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.03.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
03.03.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 451761698;-5,9 EUR
05.03.2022;Lidl;Rechnungsnr: 2742633;-84,45 EUR
07.03.2022;Netto;Rechnungsnr: 7983267;-114,9 EUR
08.03.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 9611883;-10,99 EUR
10.03.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.03.2022;Netflix ltd.;Netflix;-17,99 EUR
11.03.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r March;-19,99 EUR
13.03.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 626295605;-5,9 EUR
14.03.2022;NOVA;Gehalt f�r Monat: March;2000 EUR
15.03.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 1204096;-5,63 EUR
15.03.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 1571409;-5,67 EUR
16.03.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9836983;-5,94 EUR
16.03.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.03.2022;Netto;Rechnungsnr: 1595510;-72,18 EUR
17.03.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.03.2022;Netto;Rechnungsnr: 8480556;-84,16 EUR
18.03.2022;Walt Disney;Disney+;-17,99 EUR
20.03.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 8383899;-6,04 EUR
21.03.2022;Amazon;Buchungsnr: 3132759;-84,41 EUR
24.03.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.03.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4580693;-11,34 EUR
29.03.2022;Edeka;Rechnungsnr: 3760878;-82,3 EUR
29.03.2022;Amazon;Buchungsnr: 9077958;-30,59 EUR
01.04.2022;Mietskaserne am R�benacker;Miete f�r Monat: April;-750 EUR
01.04.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r April;-18,36 EUR
02.04.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.04.2022;VHV;Privathaftpflicht;-4,5 EUR
03.04.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.04.2022;Otto;Buchungsnr: 6063094;-40,17 EUR
05.04.2022;Otto;Buchungsnr: 6247448;-72,69 EUR
06.04.2022;Paypal;Buchungsnr: 2239177;-49,24 EUR
09.04.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.04.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 600495300;-5,9 EUR
10.04.2022;Netflix ltd.;Netflix;-17,99 EUR
11.04.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r April;-19,99 EUR
14.04.2022;NOVA;Gehalt f�r Monat: April;2000 EUR
16.04.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.04.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.04.2022;Paypal;Buchungsnr: 1453349;-51,9 EUR
18.04.2022;Walt Disney;Disney+;-17,99 EUR
19.04.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 4753815;-8,42 EUR
21.04.2022;Denns;Rechnungsnr: 3174647;-118,29 EUR
21.04.2022;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3036074;-24,9 EUR
23.04.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.04.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 971434405;-5,9 EUR
26.04.2022;Reformhaus;Rechnungsnr: 1864193;-108,71 EUR
01.05.2022;Mietskaserne am R�benacker;Miete f�r Monat: May;-750 EUR
01.05.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r May;-18,36 EUR
02.05.2022;VHV;Privathaftpflicht;-4,5 EUR
03.05.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.05.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 9970195;-9,42 EUR
04.05.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.05.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 4374481;-7,07 EUR
07.05.2022;Reformhaus;Rechnungsnr: 3037202;-50,16 EUR
09.05.2022;Denns;Rechnungsnr: 4796330;-45,35 EUR
09.05.2022;Apollo;Apollo Eintritt Giro Card Transaktion: 340510449;-20,2 EUR
10.05.2022;Netflix ltd.;Netflix;-17,99 EUR
11.05.2022;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8825073;-24,9 EUR
11.05.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r May;-19,99 EUR
11.05.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
12.05.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5754440;-6,1 EUR
14.05.2022;NOVA;Gehalt f�r Monat: May;2000 EUR
14.05.2022;Otto;Buchungsnr: 3108659;-77,04 EUR
16.05.2022;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 5956;-13,4 EUR
16.05.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.05.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.05.2022;Walt Disney;Disney+;-17,99 EUR
19.05.2022;Netto;Rechnungsnr: 1342568;-49,44 EUR
24.05.2022;Netto;Rechnungsnr: 7068748;-45,71 EUR
25.05.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.05.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 6867832;-9,1 EUR
27.05.2022;BP;Giro Card Transaktion: 302190257;-88,7 EUR
28.05.2022;Lidl;Rechnungsnr: 4249217;-67,34 EUR
31.05.2022;Paypal;Buchungsnr: 9019230;-131,95 EUR
01.06.2022;Mietskaserne am R�benacker;Miete f�r Monat: June;-750 EUR
01.06.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r June;-18,36 EUR
02.06.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.06.2022;VHV;Privathaftpflicht;-4,5 EUR
03.06.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
08.06.2022;Jet;Giro Card Transaktion: 537896545;-26,04 EUR
09.06.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.06.2022;Saturn;Buchungsnr: 5167216;-126,36 EUR
10.06.2022;Lidl;Rechnungsnr: 6808385;-139,38 EUR
10.06.2022;Netflix ltd.;Netflix;-17,99 EUR
11.06.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r June;-19,99 EUR
11.06.2022;Amazon;Buchungsnr: 2097134;-110,64 EUR
13.06.2022;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 2176952;-24,9 EUR
14.06.2022;NOVA;Gehalt f�r Monat: June;2000 EUR
15.06.2022;Reformhaus;Rechnungsnr: 2967938;-63,16 EUR
16.06.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.06.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.06.2022;Walt Disney;Disney+;-17,99 EUR
18.06.2022;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 702591603;-26,0 EUR
19.06.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 767903337;-5,9 EUR
23.06.2022;Lidl;Rechnungsnr: 7197051;-78,76 EUR
23.06.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.06.2022;Rewe;Rechnungsnr: 1973125;-61,34 EUR
27.06.2022;Denns;Rechnungsnr: 1197431;-64,36 EUR
01.07.2022;Mietskaserne am R�benacker;Miete f�r Monat: July;-750 EUR
01.07.2022;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3570136;-24,9 EUR
01.07.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r July;-18,36 EUR
01.07.2022;Apollo;Apollo Eintritt Giro Card Transaktion: 192590761;-20,9 EUR
02.07.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.07.2022;VHV;Privathaftpflicht;-4,5 EUR
03.07.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
06.07.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 7797320;-8,25 EUR
06.07.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2572336;-11,25 EUR
09.07.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.07.2022;Netflix ltd.;Netflix;-17,99 EUR
11.07.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r July;-19,99 EUR
11.07.2022;Saturn;Buchungsnr: 3165226;-51,95 EUR
13.07.2022;Otto;Buchungsnr: 7869980;-39,13 EUR
14.07.2022;NOVA;Gehalt f�r Monat: July;2000 EUR
16.07.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.07.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.07.2022;Walt Disney;Disney+;-17,99 EUR
22.07.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 6881244;-6,93 EUR
22.07.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 2217941;-10,5 EUR
23.07.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
27.07.2022;Otto;Buchungsnr: 6824026;-37,37 EUR
29.07.2022;Aldi;Rechnungsnr: 2855557;-97,97 EUR
29.07.2022;Jet;Giro Card Transaktion: 233378682;-29,14 EUR
30.07.2022;NP;Rechnungsnr: 4149111;-175,03 EUR
30.07.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
31.07.2022;Saturn;Buchungsnr: 8773297;-92,54 EUR
01.08.2022;Mietskaserne am R�benacker;Miete f�r Monat: August;-750 EUR
01.08.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r August;-18,36 EUR
02.08.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 2403771;-11,17 EUR
02.08.2022;VHV;Privathaftpflicht;-4,5 EUR
03.08.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.08.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
06.08.2022;Rewe;Rechnungsnr: 8858374;-68,74 EUR
07.08.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 643433738;-5,9 EUR
08.08.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 857739398;-5,9 EUR
10.08.2022;Netflix ltd.;Netflix;-17,99 EUR
11.08.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r August;-19,99 EUR
11.08.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
13.08.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 8086870;-6,35 EUR
14.08.2022;NOVA;Gehalt f�r Monat: August;2000 EUR
16.08.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.08.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.08.2022;Walt Disney;Disney+;-17,99 EUR
19.08.2022;Aldi;Rechnungsnr: 2939274;-76,45 EUR
22.08.2022;Netto;Rechnungsnr: 2165043;-180,81 EUR
23.08.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 1790789;-11,31 EUR
24.08.2022;Otto;Buchungsnr: 5924662;-139,0 EUR
25.08.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
29.08.2022;Online Pharma;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 8137030;-24,9 EUR
29.08.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 169742478;-5,9 EUR
01.09.2022;Mietskaserne am R�benacker;Miete f�r Monat: September;-750 EUR
01.09.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.09.2022;VHV;Abbuchung Ihrer Vollkasko Versicherung f�r das KFZ mit dem Kennzeichen: ABC - 1234;-546 EUR
01.09.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r September;-18,36 EUR
02.09.2022;VHV;Privathaftpflicht;-4,5 EUR
03.09.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.09.2022;BP;Giro Card Transaktion: 192581788;-41,03 EUR
08.09.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
08.09.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 481436951;-5,9 EUR
08.09.2022;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 245432529;-25,5 EUR
10.09.2022;Netflix ltd.;Netflix;-17,99 EUR
11.09.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r September;-19,99 EUR
11.09.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 7357437;-8,33 EUR
14.09.2022;NOVA;Gehalt f�r Monat: September;2000 EUR
14.09.2022;Shell;Giro Card Transaktion: 236149361;-24,22 EUR
15.09.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.09.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 8900271;-11,57 EUR
16.09.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.09.2022;Denns;Rechnungsnr: 6962713;-229,0 EUR
17.09.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 3806275;-8,75 EUR
17.09.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 2146651;-5,74 EUR
17.09.2022;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 2422;-12,1 EUR
18.09.2022;Walt Disney;Disney+;-17,99 EUR
22.09.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.09.2022;Paypal;Buchungsnr: 5842882;-297,0 EUR
26.09.2022;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 9706617;-24,9 EUR
29.09.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.10.2022;Mietskaserne am R�benacker;Miete f�r Monat: October;-750 EUR
01.10.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r October;-18,36 EUR
02.10.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 6264720;-5,7 EUR
02.10.2022;VHV;Privathaftpflicht;-4,5 EUR
03.10.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.10.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.10.2022;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 7094671;-11,71 EUR
05.10.2022;Jet;Giro Card Transaktion: 607323190;-68,54 EUR
08.10.2022;Oeffentlicher Personennahverkehr;Ihr Ticket: 118264569;-5,9 EUR
10.10.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.10.2022;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 1724;-15,8 EUR
10.10.2022;Netflix ltd.;Netflix;-17,99 EUR
11.10.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r October;-19,99 EUR
12.10.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 4969362;-10,98 EUR
12.10.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 2766133;-9,38 EUR
14.10.2022;NOVA;Gehalt f�r Monat: October;2000 EUR
15.10.2022;Cinemaxx;Cinemaxx Eintritt Giro Card Transaktion: 960369271;-17,3 EUR
16.10.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.10.2022;Reformhaus;Rechnungsnr: 8189024;-164,0 EUR
17.10.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
17.10.2022;Paypal;Buchungsnr: 2351964;-161,71 EUR
18.10.2022;Walt Disney;Disney+;-17,99 EUR
20.10.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 5901251;-5,39 EUR
23.10.2022;BP;Giro Card Transaktion: 886306362;-77,11 EUR
24.10.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.10.2022;Edeka;Rechnungsnr: 1262061;-113,0 EUR
25.10.2022;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 6090674;-24,9 EUR
27.10.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 3855787;-11,69 EUR
31.10.2022;Otto;Buchungsnr: 5295026;-177,29 EUR
01.11.2022;Mietskaserne am R�benacker;Miete f�r Monat: November;-750 EUR
01.11.2022;Zoll;Ihre KFZ Steuer f�r das Kennzeichen: ABC - 1234;-52 EUR
01.11.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r November;-18,36 EUR
01.11.2022;Kleines Theater;Kleines Theater Eintritt Giro Card Transaktion: 407469859;-23,9 EUR
02.11.2022;VHV;Privathaftpflicht;-4,5 EUR
03.11.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.11.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
04.11.2022;Amazon;Buchungsnr: 7392784;-51,74 EUR
05.11.2022;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3364887;-24,9 EUR
06.11.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 5813602;-11,01 EUR
06.11.2022;Saturn;Buchungsnr: 2902664;-54,68 EUR
10.11.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.11.2022;Netflix ltd.;Netflix;-17,99 EUR
11.11.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r November;-19,99 EUR
14.11.2022;NOVA;Gehalt f�r Monat: November inkl. Sonderzahlung;3740,0 EUR
14.11.2022;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 8157403;-10,39 EUR
16.11.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.11.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
18.11.2022;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 6700998;-8,85 EUR
18.11.2022;Walt Disney;Disney+;-17,99 EUR
20.11.2022;Bok;Bis zum n�chsten Mal! Bok Rechnungsnummer: 3538;-17,4 EUR
24.11.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
26.11.2022;Paypal;Buchungsnr: 3934127;-133,57 EUR
27.11.2022;NP;Rechnungsnr: 8778583;-263,0 EUR
28.11.2022;Apollo;Apollo Eintritt Giro Card Transaktion: 435388866;-12,2 EUR
01.12.2022;Mietskaserne am R�benacker;Miete f�r Monat: December;-750 EUR
01.12.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
01.12.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2931952;-10,76 EUR
01.12.2022;Norddeutscher Rundfunk;Rundfunkbeitrag f�r December;-18,36 EUR
02.12.2022;BK;Ihre Bestellung bei BK Rechnungsnummer: 1072482;-7,32 EUR
02.12.2022;VHV;Privathaftpflicht;-4,5 EUR
03.12.2022;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
08.12.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.12.2022;Netflix ltd.;Netflix;-17,99 EUR
11.12.2022;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r December;-19,99 EUR
14.12.2022;NOVA;Gehalt f�r Monat: December;2000 EUR
15.12.2022;NP;Rechnungsnr: 2125336;-70,65 EUR
15.12.2022;Lidl;Rechnungsnr: 8276045;-143,35 EUR
15.12.2022;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
15.12.2022;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2329383;-11,64 EUR
16.12.2022;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.12.2022;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 2091261;-24,9 EUR
